epoch,train_loss,val_loss,val_precision,val_recall,val_ndcg,val_hr
1,3.0127964190074374,1.7464606761932373,0.03474903474903475,0.258970458970459,0.12968288782826098,0.4942084942084942
2,1.5104506696973528,1.5822381973266602,0.04575289575289584,0.32207569886141313,0.17718145756020032,0.5521235521235521
3,0.9849095855440412,1.195275068283081,0.038996138996139046,0.29906819371105087,0.15261382663087675,0.5173745173745173
4,0.7098608016967773,0.9749177098274231,0.048455598455598554,0.34275829811544095,0.1884865188888243,0.583011583011583
5,0.5292495744568961,0.7140329480171204,0.04729729729729739,0.3463162159590731,0.1862326251198054,0.5598455598455598
6,0.4032355844974518,0.6276566386222839,0.05347490347490363,0.3859305752162895,0.2044243199677158,0.61003861003861
7,0.35090514166014536,0.5476967692375183,0.05057915057915071,0.36081011973869115,0.1966298479172067,0.5984555984555985
8,0.3097376142229353,0.6010974049568176,0.05424710424710441,0.39887371315942743,0.21196264307123114,0.6293436293436293
9,0.27883072410311016,0.5228163003921509,0.051351351351351465,0.3760369617512475,0.20033715885481956,0.61003861003861
10,0.267577588558197,0.5640588998794556,0.05328185328185342,0.3803900625329196,0.21211455711114527,0.6138996138996139
11,0.2554655245372227,0.5247130990028381,0.05173745173745185,0.38067859317859326,0.2140609587380472,0.6061776061776062
12,0.23297204077243805,0.5106972455978394,0.05405405405405419,0.3845090934376648,0.2200856667888384,0.6138996138996139
13,0.23518654916967666,0.5523321628570557,0.05444015444015459,0.3994459690888262,0.2206143113543164,0.637065637065637
14,0.23670707643032074,0.5143108367919922,0.055019305019305145,0.38646654718083295,0.21597413993333942,0.6254826254826255
15,0.23144554878984178,0.50152188539505,0.05444015444015456,0.3921564010849725,0.21970593050872236,0.637065637065637
16,0.22454327557768142,0.4884033203125,0.05386100386100401,0.3900537686251972,0.21083661106917848,0.637065637065637
17,0.20920835435390472,0.49644380807876587,0.05482625482625495,0.3969884898456327,0.2162651431141976,0.6332046332046332
18,0.20610811242035457,0.5548410415649414,0.0534749034749036,0.38620975763832904,0.20506492301529658,0.640926640926641
19,0.20511481378759658,0.4914993345737457,0.05154440154440166,0.36541138505424214,0.19552475388614893,0.6177606177606177
20,0.19548751626695907,0.5116661190986633,0.0532818532818534,0.3681070966785252,0.2105755628470713,0.6177606177606177
21,0.19988198152610234,0.5320663452148438,0.05173745173745186,0.36077871077871076,0.19688520528241016,0.6177606177606177
22,0.19460971014840261,0.5731686949729919,0.053861003861003974,0.3724244009958295,0.20172637011218408,0.6216216216216216
23,0.1825947995696749,0.5639510154724121,0.05250965250965262,0.36375169768026905,0.2050682850434682,0.5945945945945946
24,0.18960522328104293,0.48811545968055725,0.053281853281853406,0.38845125809411524,0.21183337681003675,0.6177606177606177
25,0.17880023377282278,0.5251548886299133,0.05444015444015457,0.3939053171196028,0.21182088069619562,0.6332046332046332
26,0.18884024236883437,0.5211015343666077,0.052316602316602435,0.3951431344288487,0.1999633602891857,0.6332046332046332
27,0.17499804283891404,0.622760534286499,0.0536679536679538,0.4017016177730463,0.2098589540942335,0.640926640926641
28,0.1774855192218508,0.6201187968254089,0.05135135135135147,0.38093033628747913,0.20238999609399708,0.637065637065637
29,0.17435380816459656,0.6398627161979675,0.05096525096525106,0.36887422423136706,0.20070384377067596,0.6177606177606177
30,0.17477705223219736,0.6280985474586487,0.052509652509652636,0.38284201855630423,0.2048620994830524,0.6332046332046332
